Date Time;ACT;Angle;Spin 
2018-06-28 00:00:00;6.44;3;12
2018-06-28 00:00:10;1.94;3;12
2018-06-28 00:00:20;2;3;12
2018-06-28 00:00:30;2.19;3;12
2018-06-28 00:00:40;1.88;3;12
2018-06-28 00:00:50;1.88;3;12
2018-06-28 00:01:00;2;3;12
2018-06-28 00:01:10;2;3;12
2018-06-28 00:01:20;2.62;3;12
2018-06-28 00:01:30;1.81;3;12
2018-06-28 00:01:40;1.81;3;12
2018-06-28 00:01:50;1.88;3;12
2018-06-28 00:02:00;1.88;3;12
2018-06-28 00:02:10;1.94;3;12
2018-06-28 00:02:20;3.94;2;13
2018-06-28 00:02:30;8.38;3;12
2018-06-28 00:02:40;2.19;5;10
2018-06-28 00:02:50;3.5;5;10
2018-06-28 00:03:00;2.44;6;10
2018-06-28 00:03:10;2.06;6;10
2018-06-28 00:03:20;3.38;6;10
2018-06-28 00:03:30;3.06;6;9
2018-06-28 00:03:40;2.31;6;10
2018-06-28 00:03:50;2.12;6;10
2018-06-28 00:04:00;2.94;6;10
2018-06-28 00:04:10;1.88;6;10
2018-06-28 00:04:20;1.94;6;10
2018-06-28 00:04:30;3.06;6;10
2018-06-28 00:04:40;3.69;6;10
2018-06-28 00:04:50;4.88;6;9
2018-06-28 00:05:00;2.56;6;9
2018-06-28 00:05:10;1.94;6;9
2018-06-28 00:05:20;1.88;6;9
2018-06-28 00:05:30;1.88;6;9
2018-06-28 00:05:40;1.88;6;9
2018-06-28 00:05:50;3.81;6;9
2018-06-28 00:06:00;2.12;6;10
2018-06-28 00:06:10;2.12;6;10
2018-06-28 00:06:20;2.06;6;10
2018-06-28 00:06:30;4.06;6;10
2018-06-28 00:06:40;3.62;6;10
2018-06-28 00:06:50;5.5;6;9
2018-06-28 00:07:00;2.44;7;9
2018-06-28 00:07:10;2.25;7;9
2018-06-28 00:07:20;2.25;7;9
2018-06-28 00:07:30;2.19;7;9
2018-06-28 00:07:40;3.62;7;9
2018-06-28 00:07:50;2.19;7;9
2018-06-28 00:08:00;2.25;7;9
2018-06-28 00:08:10;2.19;7;9
2018-06-28 00:08:20;3.81;7;9
2018-06-28 00:08:30;2.12;7;9
2018-06-28 00:08:40;3.81;6;9
2018-06-28 00:08:50;2.25;6;10
2018-06-28 00:09:00;2.19;6;10
2018-06-28 00:09:10;2.06;6;10
2018-06-28 00:09:20;2.69;6;10
2018-06-28 00:09:30;3.75;6;9
2018-06-28 00:09:40;2.19;6;9
2018-06-28 00:09:50;2.19;6;9
2018-06-28 00:10:00;2.31;6;9
2018-06-28 00:10:10;3.62;6;9
2018-06-28 00:10:20;2.5;6;9
2018-06-28 00:10:30;2.19;6;9
2018-06-28 00:10:40;2.06;6;9
2018-06-28 00:10:50;2.38;6;9
2018-06-28 00:11:00;2.25;6;9
2018-06-28 00:11:10;3.56;6;9
