data_timestamp;rr;sd;tp;vl;lf;hf;lf%;hf%;var;low_high_ratio;wl

00:00:30;1056;36.8;1637;1198;344;72;78.4;16.4;1349.5;477.8;3000
00:03:00;1045;37.4;978;702;195;65;70.7;23.6;1393.9;300;3000
00:05:30;1036;41.2;1699;1186;409;76;79.7;14.8;1691.6;538.2;3000
00:08:00;1030;44.4;1860;1440;292;98;69.5;23.3;1964.6;298;3000
00:10:30;1032;38.9;1303;827;343;104;72.1;21.8;1508;329.8;3000
00:13:00;1040;36.2;1167;602;409;121;72.4;21.4;1305.9;338;3000
00:15:30;1035;38.2;1261;916;189;124;54.8;35.9;1454.2;152.4;3000
00:18:00;1034;41.9;2181;1795;290;68;75.1;17.6;1749.6;426.5;3000
00:20:30;1044;30.7;801;579;148;60;66.7;27;939.2;246.7;3000
00:23:00;1029;24.8;456;389;31;26;46.3;38.8;612.9;119.2;3000
00:25:30;1007;21.4;211;132;44;27;55.7;34.2;456.4;163;3000
00:28:00;972;33.7;1414;1289;96;20;76.8;16;1132;480;3000
00:30:30;971;30.8;402;282;76;33;63.3;27.5;945.6;230.3;3000
00:33:00;988;20.8;428;334;58;26;61.7;27.7;431.2;223.1;3000
00:35:30;1004;30.1;557;405;103;38;67.8;25;903;271.1;3000
00:38:00;1016;19.6;184;125;30;21;50.8;35.6;382.9;142.9;3000
00:40:30;1000;16.5;192;143;29;14;59.2;28.6;271.3;207.1;3000
00:43:00;1005;19.9;308;234;50;18;67.6;24.3;394.7;277.8;3000
00:45:30;1007;19.4;259;211;28;15;58.3;31.3;375.1;186.7;3000
00:48:00;997;40.3;2752;2536;162;43;75;19.9;1618.8;376.7;3000
00:50:30;994;50.7;1741;1316;313;81;73.6;19.1;2562.1;386.4;3000
00:53:00;998;26.9;730;530;106;67;53;33.5;721.2;158.2;3000
00:55:30;989;23.7;597;429;92;58;54.8;34.5;559.8;158.6;3000
00:58:00;986;20.4;223;130;24;55;25.8;59.1;414.8;43.6;3000
